overheat_enabled,enter_threshold,exit_threshold,derisk_scale,segment,start,end,rows,trigger_count,overlay_days,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,final_nav
True,0.36,0.34,0.25,last_5y,2021-05-06,2026-04-30,1210,1,2,0.6814127248673785,0.2264966998006413,0.33632021295755554,0.18190633223826314,1.691134021900562,-0.1667834505756216,2.0165083034126576,4.240315398072471
True,0.36,0.34,0.25,last_10y,2016-05-04,2026-04-30,2428,1,2,0.6825946478720907,0.24509656385207917,0.3025224806792597,0.18512771358106558,1.5251547846816647,-0.19160178344553136,1.5789126553994781,14.009998378143965
True,0.36,0.34,0.25,full_common,2010-09-29,2026-04-30,3785,5,14,0.6996621683248525,0.24566503961221733,0.3047039213383569,0.20905018957284663,1.3829319918203007,-0.3539139576637865,0.860954801979925,63.11328624057052
True,0.36,0.34,0.5,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.36,0.34,0.5,last_3y,2023-05-04,2026-04-30,726,1,2,0.5966899408946666,0.19412673107269424,0.45636253744479527,0.1926255404651938,2.055515482468,-0.11042852267079417,4.1326509348068345,3.0770334571631106
True,0.36,0.34,0.5,last_5y,2021-05-06,2026-04-30,1210,1,2,0.6814127248673785,0.2264966998006413,0.33632021295755554,0.18190633223826316,1.6911340219005617,-0.1667834505756216,2.0165083034126576,4.240315398072471
True,0.36,0.34,0.5,last_10y,2016-05-04,2026-04-30,2428,1,2,0.6825946478720907,0.24509656385207917,0.30252248067925946,0.18512771358106564,1.5251547846816642,-0.19160178344553125,1.578912655399478,14.009998378143933
True,0.36,0.34,0.5,full_common,2010-09-29,2026-04-30,3785,5,14,0.7002722619945669,0.24514894903384846,0.3023533005556629,0.20912034637125976,1.3738714948221245,-0.35391395766378586,0.8543130159418437,61.364367598398914
True,0.36,0.32,0.0,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.36,0.32,0.0,last_3y,2023-05-04,2026-04-30,726,1,3,0.5966899408946666,0.1941267310726942,0.45636253744479527,0.19262554046519376,2.0555154824680004,-0.11042852267079417,4.1326509348068345,3.0770334571631106
True,0.36,0.32,0.0,last_5y,2021-05-06,2026-04-30,1210,1,3,0.6814127248673785,0.2264966998006413,0.33632021295755554,0.18190633223826314,1.691134021900562,-0.1667834505756216,2.0165083034126576,4.240315398072471
True,0.36,0.32,0.0,last_10y,2016-05-04,2026-04-30,2428,1,3,0.6825946478720907,0.24509656385207917,0.30252248067925946,0.1851277135810656,1.5251547846816644,-0.19160178344553136,1.578912655399477,14.009998378143933
True,0.36,0.32,0.0,full_common,2010-09-29,2026-04-30,3785,5,15,0.6988305507337653,0.24610133053130195,0.30709559705262257,0.20904280984729176,1.3917841487265656,-0.3539139576637862,0.86771259059627,64.94054623460774
True,0.36,0.32,0.25,last_1y,2025-05-06,2026-04-30,242,0,0,0.6903409090909091,0.1890495867768595,0.9879376761573204,0.19620500195838675,3.571552337153125,-0.062068609892664384,15.916864867213345,1.9647017214835085
True,0.36,0.32,0.25,last_3y,2023-05-04,2026-04-30,726,1,3,0.5966899408946666,0.1941267310726942,0.45636253744479527,0.19262554046519376,2.0555154824680004,-0.11042852267079417,4.1326509348068345,3.0770334571631106
