overheat_enabled,enter_threshold,exit_threshold,derisk_scale,cagr_last_1y,max_dd_last_1y,sharpe_last_1y,calmar_last_1y,trigger_count_last_1y,overlay_days_last_1y,avg_weight_last_1y,avg_turnover_last_1y,cagr_last_3y,max_dd_last_3y,sharpe_last_3y,calmar_last_3y,trigger_count_last_3y,overlay_days_last_3y,avg_weight_last_3y,avg_turnover_last_3y,cagr_last_5y,max_dd_last_5y,sharpe_last_5y,calmar_last_5y,trigger_count_last_5y,overlay_days_last_5y,avg_weight_last_5y,avg_turnover_last_5y,cagr_last_10y,max_dd_last_10y,sharpe_last_10y,calmar_last_10y,trigger_count_last_10y,overlay_days_last_10y,avg_weight_last_10y,avg_turnover_last_10y,cagr_full_common,max_dd_full_common,sharpe_full_common,calmar_full_common,trigger_count_full_common,overlay_days_full_common,avg_weight_full_common,avg_turnover_full_common,recent_weighted_sharpe,mean_recent_cagr,worst_recent_max_dd
True,0.44,0.4,0.25,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.45636253744479527,-0.11042852267079417,2.0555154824680004,4.1326509348068345,1,1,0.5966899408946666,0.1941267310726942,0.33632021295755554,-0.1667834505756216,1.6911340219005617,2.0165083034126576,1,1,0.6814127248673785,0.2264966998006413,0.30252248067925946,-0.19160178344553125,1.5251547846816644,1.578912655399478,1,1,0.6825946478720907,0.24509656385207917,0.29779624695291185,-0.3539139576637874,1.3548986949007904,0.8414368535185422,1,1,0.7009659215135976,0.24400750006855265,2.075833394804215,0.5207857268097327,-0.19160178344553125
True,0.44,0.4,0.5,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.45636253744479527,-0.11042852267079417,2.0555154824680004,4.1326509348068345,1,1,0.5966899408946666,0.1941267310726942,0.33632021295755554,-0.1667834505756216,1.6911340219005617,2.0165083034126576,1,1,0.6814127248673785,0.2264966998006413,0.30252248067925946,-0.19160178344553125,1.5251547846816644,1.578912655399478,1,1,0.6825946478720907,0.24509656385207917,0.29779624695291185,-0.3539139576637874,1.3548986949007904,0.8414368535185422,1,1,0.7009659215135976,0.24400750006855265,2.075833394804215,0.5207857268097327,-0.19160178344553125
True,0.44,0.42,0.0,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.45636253744479527,-0.11042852267079417,2.0555154824680004,4.1326509348068345,1,1,0.5966899408946666,0.1941267310726942,0.33632021295755554,-0.1667834505756216,1.6911340219005617,2.0165083034126576,1,1,0.6814127248673785,0.2264966998006413,0.30252248067925946,-0.19160178344553125,1.5251547846816644,1.578912655399478,1,1,0.6825946478720907,0.24509656385207917,0.29779624695291185,-0.3539139576637874,1.3548986949007904,0.8414368535185422,1,1,0.7009659215135976,0.24400750006855265,2.075833394804215,0.5207857268097327,-0.19160178344553125
True,0.44,0.42,0.25,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.45636253744479527,-0.11042852267079417,2.0555154824680004,4.1326509348068345,1,1,0.5966899408946666,0.1941267310726942,0.33632021295755554,-0.1667834505756216,1.6911340219005617,2.0165083034126576,1,1,0.6814127248673785,0.2264966998006413,0.30252248067925946,-0.19160178344553125,1.5251547846816644,1.578912655399478,1,1,0.6825946478720907,0.24509656385207917,0.29779624695291185,-0.3539139576637874,1.3548986949007904,0.8414368535185422,1,1,0.7009659215135976,0.24400750006855265,2.075833394804215,0.5207857268097327,-0.19160178344553125
True,0.44,0.42,0.5,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.45636253744479527,-0.11042852267079417,2.0555154824680004,4.1326509348068345,1,1,0.5966899408946666,0.1941267310726942,0.33632021295755554,-0.1667834505756216,1.6911340219005617,2.0165083034126576,1,1,0.6814127248673785,0.2264966998006413,0.30252248067925946,-0.19160178344553125,1.5251547846816644,1.578912655399478,1,1,0.6825946478720907,0.24509656385207917,0.29779624695291185,-0.3539139576637874,1.3548986949007904,0.8414368535185422,1,1,0.7009659215135976,0.24400750006855265,2.075833394804215,0.5207857268097327,-0.19160178344553125
True,0.32,0.28,0.0,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.45636253744479527,-0.11042852267079417,2.0555154824680004,4.1326509348068345,1,4,0.5966899408946666,0.1941267310726942,0.33632021295755554,-0.1667834505756216,1.691134021900562,2.0165083034126576,1,4,0.6814127248673785,0.2264966998006413,0.30252248067925946,-0.19160178344553136,1.5251547846816644,1.578912655399477,1,4,0.6825946478720907,0.24509656385207917,0.286228327820943,-0.3539139576637861,1.3223710491464475,0.8087511713591595,6,31,0.6984805398496652,0.24457898208099751,2.075833394804215,0.5207857268097327,-0.19160178344553136
True,0.32,0.3,0.0,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.45636253744479527,-0.11042852267079417,2.0555154824680004,4.1326509348068345,1,4,0.5966899408946666,0.1941267310726942,0.33632021295755554,-0.1667834505756216,1.691134021900562,2.0165083034126576,1,4,0.6814127248673785,0.2264966998006413,0.30252248067925946,-0.19160178344553136,1.5251547846816644,1.578912655399477,1,4,0.6825946478720907,0.24509656385207917,0.286228327820943,-0.3539139576637861,1.3223710491464475,0.8087511713591595,6,29,0.6984805398496652,0.24457898208099751,2.075833394804215,0.5207857268097327,-0.19160178344553136
True,0.36,0.32,0.0,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.45636253744479527,-0.11042852267079417,2.0555154824680004,4.1326509348068345,1,3,0.5966899408946666,0.1941267310726942,0.33632021295755554,-0.1667834505756216,1.691134021900562,2.0165083034126576,1,3,0.6814127248673785,0.2264966998006413,0.30252248067925946,-0.19160178344553136,1.5251547846816644,1.578912655399477,1,3,0.6825946478720907,0.24509656385207917,0.30709559705262257,-0.3539139576637862,1.3917841487265656,0.86771259059627,5,15,0.6988305507337653,0.24610133053130195,2.075833394804215,0.5207857268097327,-0.19160178344553136
True,0.36,0.34,0.0,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.45636253744479527,-0.11042852267079417,2.0555154824680004,4.1326509348068345,1,2,0.5966899408946666,0.1941267310726942,0.33632021295755554,-0.1667834505756216,1.691134021900562,2.0165083034126576,1,2,0.6814127248673785,0.2264966998006413,0.30252248067925946,-0.19160178344553136,1.5251547846816644,1.578912655399477,1,2,0.6825946478720907,0.24509656385207917,0.30709559705262257,-0.3539139576637862,1.3917841487265656,0.86771259059627,5,14,0.6988305507337653,0.24610133053130195,2.075833394804215,0.5207857268097327,-0.19160178344553136
True,0.4,0.36,0.5,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.45636253744479527,-0.11042852267079417,2.055515482468,4.1326509348068345,1,2,0.5966899408946666,0.19412673107269424,0.33632021295755554,-0.1667834505756216,1.6911340219005615,2.0165083034126576,1,2,0.6814127248673785,0.2264966998006413,0.30252248067925946,-0.19160178344553136,1.5251547846816644,1.578912655399477,1,2,0.6825946478720907,0.24509656385207917,0.30108028274837206,-0.35391395766378586,1.3688651057001096,0.8507160461707329,4,8,0.7010814536992844,0.24469222758419013,2.075833394804215,0.5207857268097327,-0.19160178344553136
True,0.4,0.38,0.5,0.9879376761573204,-0.062068609892664384,3.571552337153125,15.916864867213345,0,0,0.6903409090909091,0.1890495867768595,0.45636253744479527,-0.11042852267079417,2.055515482468,4.1326509348068345,1,2,0.5966899408946666,0.19412673107269424,0.33632021295755554,-0.1667834505756216,1.6911340219005615,2.0165083034126576,1,2,0.6814127248673785,0.2264966998006413,0.30252248067925946,-0.19160178344553136,1.5251547846816644,1.578912655399477,1,2,0.6825946478720907,0.24509656385207917,0.30108028274837206,-0.35391395766378586,1.3688651057001096,0.8507160461707329,4,8,0.7010814536992844,0.24469222758419013,2.075833394804215,0.5207857268097327,-0.19160178344553136
