date,return,nav,top_pair,direction,holding,pair_a,pair_b,long_leg,short_leg,pair_changed,direction_changed,is_signal,target,weight,scale_raw,realized_vol,return_before_dk_execution_cost,dk_execution_turnover,dk_execution_cost,actual_position,actual_direction,scale_rebalanced,raw_return,return_before_dk_overlay,dk_overlay_execution_cost,base_weight,active_score_overlay,overlay_scale,overlay_on,overlay_triggered,overlay_recovered,trade_id,score_peak_overlay,score_decay_ratio_overlay,waiting_for_new_peak,pre_overheat_return,return_before_dk_overheat,pre_overheat_weight,same_side_overheat_abs_bias,same_side_overheat_signal,same_side_overheat_scale,same_side_overheat_on,same_side_overheat_triggered,same_side_overheat_recovered,same_side_overheat_tc,dk_total_overlay_scale,raw_nav,risk_gate_scale,risk_gate_on,risk_gate_base_dd
2010-11-22,0.0,1.0,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,,1.0,False,False,False,1,,,False,0.0,0.0,0.0,,False,0.0,True,True,False,0.0,0.0,1.0,1.0,False,0.0
2010-11-23,0.014581934397335683,1.0145819343973357,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,True,True,True,HS300/CYB_-1,0.5464085831103183,0.5680828487320744,0.3586890400005692,0.015136613756121515,1.0928171662206365,0.0005464085831103182,HS300/CYB_-1,-1,True,0.014581934397335683,0.015136613756121515,0.0,0.5464085831103183,110.58728376108135,1.0,False,False,False,2,110.58728376108135,1.0,False,0.015136613756121515,0.015136613756121515,0.5464085831103183,,False,1.0,False,False,False,0.0,1.0,1.0145819343973357,1.0,False,0.0
2010-11-24,-0.0007659946649056781,1.0138047700484776,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,0.5464085831103183,0.5575860360820688,0.35899153608608836,-0.0007659946649056836,0.0,0.0,HS300/CYB_-1,-1,False,-0.0007659946649056781,-0.0007659946649056836,0.0,0.5464085831103183,116.47881594267854,1.0,False,False,False,2,116.47881594267854,1.0,False,-0.0007659946649056836,-0.0007659946649056836,0.5464085831103183,,False,1.0,False,False,False,0.0,1.0,1.0138047700484776,1.0,False,-0.0007659946649057892
2010-11-25,-0.01797519992460772,0.9955814266223353,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,0.5464085831103183,0.5571161988399603,0.37363781947059166,-0.0179751999246077,0.0,0.0,HS300/CYB_-1,-1,False,-0.01797519992460772,-0.0179751999246077,0.0,0.5464085831103183,119.4000100018246,1.0,False,False,False,2,119.4000100018246,1.0,False,-0.0179751999246077,-0.0179751999246077,0.5464085831103183,,False,1.0,False,False,False,0.0,1.0,0.9955814266223353,1.0,False,-0.018727425682270593
2010-11-26,0.009302201336854221,1.0048425255000089,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,0.5464085831103183,0.5352777197002715,0.35297812005640905,0.009302201336854174,0.0,0.0,HS300/CYB_-1,-1,False,0.009302201336854221,0.009302201336854174,0.0,0.5464085831103183,124.43187216194855,1.0,False,False,False,2,124.43187216194855,1.0,False,0.009302201336854174,0.009302201336854174,0.5464085831103183,,False,1.0,False,False,False,0.0,1.0,1.0048425255000089,1.0,False,-0.009599430629633754
2010-11-29,0.009862712151524677,1.0147529980866266,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,True,False,True,SZ50/CYB_-1,0.44579800179787293,0.47956143675912827,0.42174262775583504,0.010414811477017467,1.0928171662206365,0.0005464085831103182,SZ50/CYB_-1,-1,True,0.009862712151524677,0.010414811477017467,0.0,0.44579800179787293,129.64831051598776,1.0,False,False,False,3,129.64831051598776,1.0,False,0.010414811477017467,0.010414811477017467,0.44579800179787293,,False,1.0,False,False,False,0.0,1.0,1.0147529980866266,1.0,False,0.0
2010-11-30,-0.0070143436880061305,1.0076351717996124,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,0.44579800179787293,0.4742228715750987,0.3956304083097491,-0.007014343688006138,0.0,0.0,SZ50/CYB_-1,-1,False,-0.0070143436880061305,-0.007014343688006138,0.0,0.44579800179787293,124.24064205988178,1.0,False,False,False,3,129.64831051598776,0.9582897113384357,False,-0.007014343688006138,-0.007014343688006138,0.44579800179787293,,False,1.0,False,False,False,0.0,1.0,1.0076351717996124,1.0,False,-0.0070143436880061305
2010-12-01,-0.0026252225304004284,1.0049899052441802,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,0.44579800179787293,0.5055223152701016,0.3956717055855227,-0.0026252225304004275,0.0,0.0,SZ50/CYB_-1,-1,False,-0.0026252225304004284,-0.0026252225304004275,0.0,0.44579800179787293,115.0082240489199,1.0,False,False,False,3,129.64831051598776,0.8870784631993913,False,-0.0026252225304004275,-0.0026252225304004275,0.44579800179787293,,False,1.0,False,False,False,0.0,1.0,1.0049899052441802,1.0,False,-0.009621152005320766
2010-12-02,-0.002859372782624381,1.0021162644623127,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,0.44579800179787293,0.5054695526030503,0.39593132692200306,-0.0028593727826243844,0.0,0.0,SZ50/CYB_-1,-1,False,-0.002859372782624381,-0.0028593727826243844,0.0,0.44579800179787293,102.39628107196334,1.0,False,False,False,3,129.64831051598776,0.7898003503820145,False,-0.0028593727826243844,-0.0028593727826243844,0.44579800179787293,,False,1.0,False,False,False,0.0,1.0,1.0021162644623127,1.0,False,-0.012453014327763579
2010-12-03,-0.009756266634247002,0.9923393509877028,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,0.44579800179787293,0.5051381045162896,0.39233618238254464,-0.009756266634246976,0.0,0.0,SZ50/CYB_-1,-1,False,-0.009756266634247002,-0.009756266634246976,0.0,0.44579800179787293,86.7374534339696,1.0,False,False,False,3,129.64831051598776,0.6690210854947737,False,-0.009756266634246976,-0.009756266634246976,0.44579800179787293,,False,1.0,False,False,False,0.0,1.0,0.9923393509877028,1.0,False,-0.022087786033828882
2010-12-06,-0.014378383727440824,0.978071115011362,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,False,False,False,,0.44579800179787293,0.50976690139935,0.4044646352150898,-0.01437838372744087,0.0,0.0,SZ50/CYB_-1,-1,False,-0.014378383727440824,-0.01437838372744087,0.0,0.44579800179787293,67.3914071471278,1.0,False,False,False,3,129.64831051598776,0.5198016609620018,False,-0.01437838372744087,-0.01437838372744087,0.44579800179787293,,False,1.0,False,False,False,0.0,1.0,0.978071115011362,1.0,False,-0.03614858309798574
2010-12-07,0.0066027292489367895,0.9845290537699878,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,True,False,True,HS300/CYB_-1,0.5464085831103183,0.591202210225391,0.33965312917664603,0.00715304631795047,1.0928171662206365,0.0005464085831103182,HS300/CYB_-1,-1,True,0.0066027292489367895,0.00715304631795047,0.0,0.5464085831103183,52.196036645731034,1.0,False,False,False,4,52.196036645731034,1.0,False,0.00715304631795047,0.00715304631795047,0.5464085831103183,,False,1.0,False,False,False,0.0,1.0,0.9845290537699878,1.0,False,-0.02978453315597762
2010-12-08,0.004177087955599124,0.9886415182224279,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,False,False,False,,0.5464085831103183,0.5888360295246521,0.33706426318105104,0.004177087955599216,0.0,0.0,HS300/CYB_-1,-1,False,0.004177087955599124,0.004177087955599216,0.0,0.5464085831103183,38.5192483005989,1.0,False,False,False,4,52.196036645731034,0.7379726656650143,False,0.004177087955599216,0.004177087955599216,0.5464085831103183,,False,1.0,False,False,False,0.0,1.0,0.9886415182224279,1.0,False,-0.025731857815087356
2010-12-09,-0.00170541559202797,0.9869554735623252,SZ50/CYB,-1,SZ50/CYB_-1,SZ50,CYB,CYB,SZ50,True,False,True,SZ50/CYB_-1,0.44579800179787293,0.49517192910862196,0.4029008062683365,-0.0011596406465203281,1.0928171662206365,0.0005464085831103182,SZ50/CYB_-1,-1,True,-0.00170541559202797,-0.0011596406465203281,0.0,0.44579800179787293,22.05072732401511,1.0,False,False,False,5,22.05072732401511,1.0,False,-0.0011596406465203281,-0.0011596406465203281,0.44579800179787293,,False,1.0,False,False,False,0.0,1.0,0.9869554735623252,1.0,False,-0.027393389895585596
2010-12-10,0.0033288541247145087,0.9902409043614027,HS300/CYB,-1,HS300/CYB_-1,HS300,CYB,CYB,HS300,True,False,True,HS300/CYB_-1,0.5464085831103183,0.5968930054680333,0.32038301594808166,0.0038773813422701203,1.0928171662206365,0.0005464085831103182,HS300/CYB_-1,-1,True,0.0033288541247145087,0.0038773813422701203,0.0,0.5464085831103183,9.252985958374222,1.0,False,False,False,6,9.252985958374222,1.0,False,0.0038773813422701203,0.0038773813422701203,0.5464085831103183,,False,1.0,False,False,False,0.0,1.0,0.9902409043614027,1.0,False,-0.024155724369814946
2010-12-13,0.007023190247000599,0.9971955546230947,ZZ500/CYB,-1,ZZ500/CYB_-1,ZZ500,CYB,CYB,ZZ500,True,False,True,ZZ500/CYB_-1,0.9194870580918428,0.9339855046790915,0.21323562804725,0.007949987215449157,1.8389741161836857,0.0009194870580918428,ZZ500/CYB_-1,-1,True,0.007023190247000599,0.007949987215449157,0.0,0.9194870580918428,9.985906544917238,1.0,False,False,False,7,9.985906544917238,1.0,False,0.007949987215449157,0.007949987215449157,0.9194870580918428,,False,1.0,False,False,False,0.0,1.0,0.9971955546230947,1.0,False,-0.0173021843706177
2010-12-14,-0.0009194870580918613,0.9962786462162321,none,0,none_0,,,,,True,True,True,none_0,0.0,0.0,,0.0,1.8389741161836857,0.0009194870580918428,none,0,True,-0.0009194870580918613,0.0,0.0,0.0,,1.0,False,False,False,8,,,False,0.0,0.0,0.0,,False,0.0,True,True,False,0.0,0.0,0.9962786462162321,1.0,False,-0.018205762294103978
2010-12-15,0.0,0.9962786462162321,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,,1.0,False,False,False,8,,,False,0.0,0.0,0.0,,False,0.0,True,False,False,0.0,0.0,0.9962786462162321,1.0,False,-0.018205762294103978
2010-12-16,0.0,0.9962786462162321,none,0,none_0,,,,,False,False,False,,0.0,0.0,,0.0,0.0,0.0,none,0,False,0.0,0.0,0.0,0.0,,1.0,False,False,False,8,,,False,0.0,0.0,0.0,,False,0.0,True,False,False,0.0,0.0,0.9962786462162321,1.0,False,-0.018205762294103978
