variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,volreg_days,overlay_days,overlay_ratio,overlay_asset_days,avg_removed_weight,trigger_count,recovery_count
baseline_no_overlay,,,,20.1504917518607,17.333246274001205,1.1479504972156447,-20.789377336233862,0.9692686522525306,2749.7973979306294,65.45454545454545,907,953,164,0,0.0,0,0.0,0,0
asset_decay30_rec90_x0p50,0.3,0.9,0.5,15.602499372507218,14.705141436338598,1.0614852138135265,-19.332168190688996,0.8070744687614445,1309.3269720917815,62.272727272727266,907,953,164,1986,0.4325854933565672,2337,0.10438307905309473,105,22
asset_decay30_rec60_x0p50,0.3,0.6,0.5,16.343607293020312,14.963411181581437,1.0885254361545373,-20.97624929799847,0.7791482195332128,1483.6340837772066,62.272727272727266,907,953,164,1585,0.3452406883032019,1840,0.07745111603519635,117,38
asset_decay30_rec80_x0p50,0.3,0.8,0.5,15.673617077075018,14.739464403055372,1.0635411700949655,-20.582262993687912,0.7615108737985585,1325.2321248768553,62.272727272727266,907,953,164,1972,0.42953604879111307,2304,0.10222653320335133,106,24
asset_decay30_rec70_x0p50,0.3,0.7,0.5,15.806536854944131,14.882504420869966,1.0624721796001988,-20.77985526013183,0.7606663596579765,1355.4149565779721,62.272727272727266,907,953,164,1711,0.37268568939228924,2013,0.08981828807141339,113,33
asset_decay40_rec60_x0p50,0.4,0.6,0.5,16.191876142896923,14.654456145000792,1.0994249857475087,-22.56211928197486,0.7176575897208736,1446.3675034595246,61.36363636363637,907,953,164,2029,0.4419516445218907,2446,0.10776908535245028,152,64
asset_decay40_rec90_x0p50,0.4,0.9,0.5,15.14207066656792,14.283781061022932,1.0605149347798462,-21.236716568175105,0.7130137381623065,1210.3428098031636,60.909090909090914,907,953,164,2462,0.5362666085820083,3160,0.14963639891610783,124,32
asset_decay40_rec70_x0p50,0.4,0.7,0.5,15.534873797758841,14.519121439617516,1.069169788830774,-22.648200794967273,0.6859208790311897,1294.3585538102675,61.81818181818181,907,953,164,2200,0.4791984317142235,2733,0.12477392188298699,143,53
asset_decay40_rec80_x0p50,0.4,0.8,0.5,15.138746771237411,14.29992675725987,1.059282666141393,-22.457296929353138,0.6741125977387817,1209.6527288385014,61.36363636363637,907,953,164,2444,0.5323458941407101,3125,0.14739855307678357,129,37
asset_decay50_rec60_x0p50,0.5,0.6,0.5,14.73332995290364,14.11478828774265,1.0462519975037736,-23.06266065389476,0.6388391250259113,1128.01138287017,59.09090909090909,907,953,164,2455,0.5347418862992812,3226,0.14903240589453537,215,117
asset_decay50_rec90_x0p50,0.5,0.9,0.5,13.573360106267994,13.56179091109311,1.0081735079424556,-21.401697352111988,0.6342188604460632,920.1703590046908,60.0,907,953,164,2886,0.6286212154214768,4207,0.20911371809243198,150,45
asset_decay30_rec90_x0p00,0.3,0.9,0.0,12.94176613147895,14.09945174281254,0.9353713443770467,-20.837407507388452,0.6210833150376364,821.4640875490062,59.09090909090909,907,953,164,1986,0.4325854933565672,2337,0.20876615810618945,105,22
asset_decay60_rec90_x0p50,0.6,0.9,0.5,12.513264085526533,12.936875214687232,0.9778338428816206,-20.293032375964177,0.6166285971310876,759.7141224616046,60.0,907,953,164,3286,0.715748203005881,5100,0.25423991912962657,198,77
asset_decay50_rec70_x0p50,0.5,0.7,0.5,14.33708976052852,13.913990939776683,1.0344104534614675,-23.279357951250393,0.6158713565276159,1052.8843805941267,60.0,907,953,164,2682,0.5841864517534306,3637,0.1727813143540031,180,81
asset_decay30_rec60_x0p00,0.3,0.6,0.0,14.417844445566574,14.494251909945241,1.0035649368151445,-23.983831676210556,0.6011485003819287,1067.8337748976116,60.45454545454545,907,953,164,1585,0.3452406883032019,1840,0.1549022320703927,117,38
asset_decay50_rec80_x0p50,0.5,0.8,0.5,13.542521464886725,13.576723154294147,1.0052170589396299,-22.619721035913564,0.598704176916467,915.1274081990566,60.0,907,953,164,2872,0.6255717708560227,4145,0.2047193782058385,158,55
asset_decay70_rec90_x0p50,0.7,0.9,0.5,11.920914045880515,12.373349471341125,0.9738549040708916,-20.10144172832652,0.5930377635093615,680.7670534615935,59.54545454545455,907,953,164,3476,0.7571335221084731,5909,0.2994816523935867,252,118
