variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,overlay_days,overlay_ratio,trigger_count,recovery_count,avg_scale,annual_delta,max_dd_delta,sharpe_delta,calmar_delta
pair_score_decay40_rec70_x0p00,0.4,0.7,0.0,30.629351465976228,20.15514259267247,1.2748550110711399,-20.772615707100783,1.4745062392650954,1809.7465577091384,64.66165413533834,626,445,78,0.029061102831594635,34,34,0.9709388971684053,0.4322807754891329,1.6363185420135942,0.02527210271976732,0.1269601955847488
pair_score_decay40_rec80_x0p00,0.4,0.8,0.0,30.629351465976228,20.15514259267247,1.2748550110711399,-20.772615707100783,1.4745062392650954,1809.7465577091384,64.66165413533834,626,445,78,0.029061102831594635,34,34,0.9709388971684053,0.4322807754891329,1.6363185420135942,0.02527210271976732,0.1269601955847488
pair_score_decay40_rec90_x0p00,0.4,0.9,0.0,30.629351465976228,20.15514259267247,1.2748550110711399,-20.772615707100783,1.4745062392650954,1809.7465577091384,64.66165413533834,626,445,78,0.029061102831594635,34,34,0.9709388971684053,0.4322807754891329,1.6363185420135942,0.02527210271976732,0.1269601955847488
pair_score_decay40_rec60_x0p00,0.4,0.6,0.0,30.28077478266993,20.168803148923036,1.2609281851021292,-20.772615707100766,1.4577256523509923,1754.2387104477789,64.66165413533834,628,445,73,0.027198211624441134,34,34,0.9728017883755589,0.0837040921828347,1.636318542013612,0.011345276750756694,0.11017960867064569
pair_score_decay40_rec50_x0p00,0.4,0.5,0.0,30.078232394815153,20.17587748325611,1.2528730349212895,-20.77261570710076,1.4479752005681898,1722.6635825069702,64.66165413533834,628,445,72,0.026825633383010434,34,34,0.9731743666169895,-0.11883829567194226,1.636318542013619,0.003290126569917007,0.10042915688784326
pair_score_decay30_rec70_x0p00,0.3,0.7,0.0,29.75373821756646,20.224870108123028,1.2380203892866208,-21.974028162751804,1.3540411433531359,1673.0948470018645,64.66165413533834,613,445,42,0.01564828614008942,18,18,0.9843517138599106,-0.44333247292063405,0.4349060863625738,-0.011562519064751697,0.006495099672789273
pair_score_decay30_rec80_x0p00,0.3,0.8,0.0,29.75373821756646,20.224870108123028,1.2380203892866208,-21.974028162751804,1.3540411433531359,1673.0948470018645,64.66165413533834,613,445,42,0.01564828614008942,18,18,0.9843517138599106,-0.44333247292063405,0.4349060863625738,-0.011562519064751697,0.006495099672789273
pair_score_decay30_rec90_x0p00,0.3,0.9,0.0,29.75373821756646,20.224870108123028,1.2380203892866208,-21.974028162751804,1.3540411433531359,1673.0948470018645,64.66165413533834,613,445,42,0.01564828614008942,18,18,0.9843517138599106,-0.44333247292063405,0.4349060863625738,-0.011562519064751697,0.006495099672789273
pair_score_decay10_rec20_x0p00,0.1,0.2,0.0,30.197070690487095,20.326233705441744,1.2495829083513725,-22.408934249114377,1.3475460436803466,1741.129933881622,64.66165413533834,598,445,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0
pair_score_decay10_rec30_x0p00,0.1,0.3,0.0,30.197070690487095,20.326233705441744,1.2495829083513725,-22.408934249114377,1.3475460436803466,1741.129933881622,64.66165413533834,598,445,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0
