variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,volreg_days,overlay_days,overlay_ratio,trigger_count,recovery_count,avg_scale
baseline_no_overlay,,,,20.150543635978636,17.333245348145866,1.1479530460630325,-20.789101473120404,0.9692840097987206,2749.8198540349545,65.45454545454545,907,953,164,0,0.0,0,0,1.0
combo_decay30_rec80_x0p50,0.3,0.8,0.5,18.99324097058157,17.17646931704408,1.1003783171265173,-22.301676425778503,0.8516508179908524,2288.4373539251824,64.54545454545455,907,953,164,143,0.031147898061424525,19,19,0.9844260509692877
combo_decay30_rec90_x0p50,0.3,0.9,0.5,18.889690613684508,17.161776491158147,1.096088785472327,-22.301676425778503,0.847007653283406,2250.7932484105486,64.54545454545455,907,953,164,161,0.03506861250272272,19,19,0.9824656937486387
combo_decay30_rec70_x0p50,0.3,0.7,0.5,18.86747282458481,17.186583871602657,1.0936655464282286,-22.37239233136366,0.8433372946948845,2242.789724653946,64.54545454545455,907,953,164,137,0.029840993247658463,19,19,0.9850795033761708
combo_decay30_rec60_x0p50,0.3,0.6,0.5,18.879824366338795,17.18871678066965,1.0941568962562938,-22.39728073892275,0.8429516326742648,2247.2359411048624,64.54545454545455,907,953,164,130,0.028316270964931386,20,20,0.9858418645175343
combo_decay40_rec90_x0p50,0.4,0.9,0.5,18.858463814053362,17.05877980268369,1.1001230377944442,-22.726300128765626,0.8298079188958443,2239.5517498101767,64.0909090909091,907,953,164,207,0.04508821607492921,27,27,0.9774558919625354
combo_decay50_rec90_x0p50,0.5,0.9,0.5,17.881294824525405,16.80257414540601,1.0650644121637707,-21.835039477128245,0.8189266084568197,1912.3821244861151,64.0909090909091,907,953,164,430,0.0936615116532346,41,41,0.9531692441733827
combo_decay40_rec60_x0p50,0.4,0.6,0.5,18.862443007358486,17.087702982263664,1.0987465674353079,-23.16903725758116,0.8141228656873298,2240.9814102536393,63.63636363636363,907,953,164,170,0.037028969723371816,30,30,0.9814855151383141
combo_decay40_rec80_x0p50,0.4,0.8,0.5,18.87019266010652,17.07813473378065,1.0996490050284422,-23.207596847405203,0.8131041220761451,2243.7681068725587,63.63636363636363,907,953,164,186,0.040514049226747985,28,28,0.979742975386626
combo_decay40_rec70_x0p50,0.4,0.7,0.5,18.84498444557825,17.084907800365187,1.0980368904883109,-23.207596847405203,0.8120179167833688,2234.7149587482177,63.63636363636363,907,953,164,180,0.03920714441298192,29,29,0.980396427793509
combo_decay50_rec70_x0p50,0.5,0.7,0.5,18.1805250070062,16.93373259941708,1.0731358926738659,-22.940392982630378,0.7925114892657604,2007.6649309518782,64.0909090909091,907,953,164,325,0.07079067741232847,43,43,0.9646046612938358
combo_decay50_rec60_x0p50,0.5,0.6,0.5,18.485303040754488,16.956015758363954,1.0871718040813418,-23.63397926715151,0.7821494142734954,2109.0877103725484,63.63636363636363,907,953,164,293,0.06382051840557612,45,45,0.9680897407972119
combo_decay50_rec80_x0p50,0.5,0.8,0.5,17.86312279232376,16.87617988464158,1.0602408654025304,-22.991722887636453,0.7769371125262413,1906.7288285611696,64.0909090909091,907,953,164,370,0.08059246351557395,42,42,0.959703768242213
combo_decay30_rec80_x0p00,0.3,0.8,0.0,17.825160470593083,17.129548340503664,1.0451982589014515,-23.79238025619707,0.7491961829229029,1894.9671975421445,63.18181818181819,907,953,164,143,0.031147898061424525,19,19,0.9688521019385755
combo_decay30_rec90_x0p00,0.3,0.9,0.0,17.618026222780657,17.110746764982814,1.035852323902601,-23.79238025619707,0.7404902760072434,1831.931263789652,63.18181818181819,907,953,164,161,0.03506861250272272,19,19,0.9649313874972772
combo_decay40_rec90_x0p00,0.4,0.9,0.0,17.54244977147956,16.972794966540885,1.0390827612391311,-24.636546435754838,0.7120498734360078,1809.4039536392477,61.36363636363637,907,953,164,207,0.04508821607492921,27,27,0.9549117839250708
