date,signal,return,asset_component,cash_component,trade_cost,turnover,holding,previous_holding,target,top_score,nav
2010-09-28,original_bias_momentum_naked,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.0001211499702025
2010-09-29,original_bias_momentum_naked,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.0002423146177204
2010-09-30,original_bias_momentum_naked,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.0003634939443315
2010-10-08,original_bias_momentum_naked,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.0004846879518146
2010-10-11,original_bias_momentum_naked,0.0001211499702025165,0.0,0.0001211499702025165,0.0,0.0,cash,cash,cash,,1.000605896641948
2010-10-12,original_bias_momentum_naked,-0.0008789711797676514,0.0,0.0001211499702025165,0.001,1.0,1.H00016,cash,1.H00016,7.256483669289288,0.9997263928964941
2010-10-13,original_bias_momentum_naked,0.016173389773520785,0.016173389773520785,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,20.71751276646507,1.015895357515685
2010-10-14,original_bias_momentum_naked,0.016569242124731653,0.016569242124731653,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,38.88532698061822,1.0327279736677533
2010-10-15,original_bias_momentum_naked,0.04329755804443258,0.04329755804443258,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,62.17421872545047,1.077442573051742
2010-10-18,original_bias_momentum_naked,-0.005623550115990694,-0.005623550115990694,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,81.92681645216653,1.0713835207450837
2010-10-19,original_bias_momentum_naked,0.01634260339321192,0.01634260339321192,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,97.5945203268057,1.0888927167066436
2010-10-20,original_bias_momentum_naked,0.0030117501790825063,0.0030117501790825063,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,109.75407376215064,1.0921721895411864
2010-10-21,original_bias_momentum_naked,-0.017487511738571215,-0.017487511738571215,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,117.04911236012944,1.0730728155560438
2010-10-22,original_bias_momentum_naked,-0.006321132824108622,-0.006321132824108622,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,123.29276803990965,1.0662897797589739
2010-10-25,original_bias_momentum_naked,0.028411846487115477,0.028411846487115477,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,129.41392577815256,1.096585041292266
2010-10-26,original_bias_momentum_naked,-0.009694964277573881,-0.009694964277573881,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,125.79315777658648,1.0859536884896155
2010-10-27,original_bias_momentum_naked,-0.02061152006984246,-0.02061152006984246,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,115.362829856332,1.0635705322443922
2010-10-28,original_bias_momentum_naked,-0.0005105327774199697,-0.0005105327774199697,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,102.71248586161576,1.0630275446265836
2010-10-29,original_bias_momentum_naked,-0.015623796493361652,-0.015623796493361652,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,84.72044655549747,1.0464190186025
2010-11-01,original_bias_momentum_naked,0.02237450632358806,0.02237450632358806,0.0,0.0,0.0,1.H00016,1.H00016,1.H00016,71.0460199491316,1.0698321275513445
2010-11-02,original_bias_momentum_naked,-0.005019077235412062,-0.0030251274903928538,0.0,0.002,2.0,0.399606,1.H00016,0.399606,75.92448915226517,1.064462557474239
2010-11-03,original_bias_momentum_naked,-0.03211090153957641,-0.03211090153957641,0.0,0.0,0.0,0.399606,0.399606,0.399606,69.26551173570651,1.030281705098618
2010-11-04,original_bias_momentum_naked,0.016424916723464245,0.016424916723464245,0.0,0.0,0.0,0.399606,0.399606,0.399606,66.01257593572257,1.0472039963065716
2010-11-05,original_bias_momentum_naked,0.013713379044596907,0.013713379044596907,0.0,0.0,0.0,0.399606,0.399606,0.399606,67.99769083657633,1.0615647016449403
