candidate,source_key,source_label,ma,days,scale_when_true,full_annual_pct,full_sharpe,full_max_dd_pct,full_annual_delta_pp,full_sharpe_delta,full_max_dd_delta_pp,full_signal_days_pct,full_defense_days_pct,full_switch_count,last_10y_annual_pct,last_10y_sharpe,last_10y_max_dd_pct,last_10y_annual_delta_pp,last_10y_sharpe_delta,last_10y_max_dd_delta_pp,last_10y_signal_days_pct,last_10y_defense_days_pct,last_10y_switch_count,last_5y_annual_pct,last_5y_sharpe,last_5y_max_dd_pct,last_5y_annual_delta_pp,last_5y_sharpe_delta,last_5y_max_dd_delta_pp,last_5y_signal_days_pct,last_5y_defense_days_pct,last_5y_switch_count,last_3y_annual_pct,last_3y_sharpe,last_3y_max_dd_pct,last_3y_annual_delta_pp,last_3y_sharpe_delta,last_3y_max_dd_delta_pp,last_3y_signal_days_pct,last_3y_defense_days_pct,last_3y_switch_count,last_1y_annual_pct,last_1y_sharpe,last_1y_max_dd_pct,last_1y_annual_delta_pp,last_1y_sharpe_delta,last_1y_max_dd_delta_pp,last_1y_signal_days_pct,last_1y_defense_days_pct,last_1y_switch_count,robust_pass,defense_score
sz50_ma10_d2_s050,sz50,SZ50,10,2,0.5,14.727177347544965,1.0888940008652908,-14.975702366278442,-6.486210123372537,-0.2573587739008267,0.8700777404354607,40.20618556701031,40.20618556701031,578,13.002252771445445,0.976414397520564,-14.975702366278409,-6.988031872205557,-0.3083289091617502,0.5152362010860685,39.88463123197363,39.92583436341162,507,17.5434323282744,1.2551107593808928,-13.868185415628188,-6.244761610931995,-0.2350581961238791,-0.0697301795539164,39.05862923203964,39.14120561519405,245,21.51834004241482,1.425703240768286,-11.896162993407025,-1.962522882001025,0.019227444236699,1.9022922426672475,39.39393939393939,39.53168044077135,145,20.983469085183515,1.4369937432925646,-11.896162993407057,1.121781576126235,0.1876177327688106,1.9022922426672475,36.21399176954733,36.21399176954733,42,False,-5.032340483261024
sz50_ma10_d3_s050,sz50,SZ50,10,3,0.5,15.416573420202615,1.091404001325286,-15.184359549831616,-5.796814050714882,-0.2548487734408313,0.6614205568822875,29.93245645218628,29.93245645218628,436,14.160146855980948,1.014971161796606,-15.081746663503449,-5.830137787670054,-0.2697721448857082,0.4091919038610285,29.46023897816234,29.50144210960033,379,17.82589442505218,1.2346788483133604,-14.67438842429133,-5.962299514154214,-0.2554901071914115,-0.8759331882170596,28.98431048720066,29.06688687035508,189,22.292406819173,1.440715450887477,-11.960695224556517,-1.1884561052428495,0.0342396543558902,1.8377600115177533,29.47658402203857,29.614325068870524,109,19.80075134327848,1.3274169047076334,-11.96069522455655,-0.0609361657788021,0.0780408941838795,1.8377600115177533,27.572016460905356,27.572016460905356,34,False,-4.954072837151265
sz50_ma10_d4_s050,sz50,SZ50,10,4,0.5,16.233724034841003,1.114262335263016,-15.835940547816996,-4.979663436076496,-0.2319904395031016,0.0098395588969069,22.182723071453964,22.182723071453964,324,14.991791623138509,1.0414575110516406,-15.118524565610292,-4.998493020512495,-0.2432857956306735,0.3724140017541852,21.67284713638237,21.714050267820355,279,19.52994390307372,1.310445962247147,-13.900798110427449,-4.258250036132672,-0.1797229932576249,-0.1023428743531784,21.222130470685386,21.304706853839804,135,23.42938870027316,1.478912602190577,-12.959021814411765,-0.0514742241426873,0.0724368056589901,0.8394334216625055,22.03856749311295,22.03856749311295,78,20.994712342014576,1.388389038044055,-11.94048327500976,1.1330248329572967,0.1390130275203007,1.8579719610645429,20.5761316872428,20.5761316872428,26,False,-3.542144201606188
sz50_ma10_d5_s050,sz50,SZ50,10,5,0.5,17.016912483517977,1.1386314207641215,-19.291053401670037,-4.196474987399522,-0.207621354001996,-3.445273294956131,16.423746889441876,16.423746889441876,252,16.14533216683105,1.092420731675089,-15.598425571898812,-3.844952476819952,-0.1923225750072252,-0.1074870045343345,15.945611866501856,15.945611866501856,216,19.883669954121697,1.3107155050359596,-13.117496266895756,-3.9045239850846976,-0.1794534504688123,0.6809589691785138,15.68951279933939,15.68951279933939,100,23.74313155490617,1.4817176348287429,-13.117496266895712,0.2622686304903254,0.075241838297156,0.6809589691785582,16.666666666666664,16.666666666666664,54,21.37770262720542,1.395819301349608,-12.16814405083404,1.5160151181481396,0.1464432908258541,1.630311185240263,15.22633744855967,15.22633744855967,18,False,-3.350491305623457
sz50_ma10_d6_s050,sz50,SZ50,10,6,0.5,18.033438095416376,1.1894236898057402,-17.430958813873566,-3.179949375501124,-0.1568290849603772,-1.5851787071596632,11.944543192321364,11.944543192321364,196,17.105173001847195,1.1426228943523924,-15.36231120042092,-2.8851116418038067,-0.1421204123299217,0.128627366943558,11.495673671199013,11.495673671199013,164,19.993427841768565,1.3063769335749362,-13.628975833519153,-3.794766097437829,-0.1837920219298356,0.1694794025551171,11.560693641618498,11.560693641618498,80,23.359249366114867,1.444754400467631,-13.542722718877442,-0.1216135583009787,0.0382786039360441,0.2557325171968276,12.947658402203857,12.947658402203857,46,21.106136928181705,1.3734752121046925,-12.47700632126062,1.2444494191244253,0.1240992015809383,1.3214489148136843,11.522633744855968,11.522633744855968,16,False,-3.2432010388657204
sz50_ma10_d7_s050,sz50,SZ50,10,7,0.5,19.29125603115438,1.258145631133026,-15.36231120042092,-1.9221314397631204,-0.0881071436330913,0.483468906292984,8.460718094560967,8.460718094560967,142,18.076458786215422,1.1944689670354929,-15.362311200420908,-1.9138258574355795,-0.0902743396468215,0.1286273669435687,8.117016893283889,8.117016893283889,124,20.98530936556373,1.3549200943329145,-13.177166005405104,-2.8028845736426646,-0.1352488611718574,0.6212892306691646,8.257638315441785,8.257638315441785,62,23.778396273635938,1.4588081386730845,-13.177166005405097,0.2975333492200924,0.0523323421414976,0.6212892306691753,9.77961432506887,9.77961432506887,42,22.47963190797784,1.453090538550604,-12.421609648673282,2.6179443989205566,0.2037145280268502,1.3768455874010217,8.23045267489712,8.23045267489712,14,False,-0.7175154860739212
sz50_ma10_d8_s050,sz50,SZ50,10,8,0.5,19.999091439658343,1.292310185728153,-16.1285890463269,-1.2142960312591562,-0.0539425890379645,-0.2828089396129982,5.9367223604692505,5.9367223604692505,110,18.988939457778464,1.2423906187424076,-15.36231120042092,-1.0013451858725375,-0.0423526879399065,0.128627366943558,5.562422744128554,5.562422744128554,94,21.78809653105789,1.3926664372947766,-13.81141954550288,-2.000097408148505,-0.0975025182099953,-0.0129643094286091,5.697770437654831,5.697770437654831,46,22.96512916297664,1.3956301332065633,-13.81141954550289,-0.5157337614392077,-0.0108456633250235,-0.0129643094286198,6.887052341597796,6.887052341597796,28,22.01610676617245,1.4104586045127314,-12.50054567537452,2.154419257115169,0.1610825939889775,1.297909560699784,5.349794238683128,5.349794238683128,6,False,-1.7265916645470458
sz50_ma10_d9_s050,sz50,SZ50,10,9,0.5,20.87854659158752,1.339116294094632,-15.978707732319908,-0.3348408793299775,-0.0071364806714855,-0.1329276256060048,3.981514397440455,3.981514397440455,76,19.93506618178569,1.293431345336029,-15.490938567364465,-0.0552184618653157,0.0086880386537151,1.2434497875801752e-14,3.6258755665430575,3.6258755665430575,66,23.3072120061391,1.471176071905521,-13.709046834735584,-0.4809819330672944,-0.0189928835992509,0.0894084013386873,3.798513625103221,3.798513625103221,32,22.53505917958281,1.3628826278116166,-13.709046834735515,-0.9458037448330394,-0.0435931687199702,0.089408401338753,4.958677685950414,4.958677685950414,26,20.434892244310944,1.3035270578011928,-13.078537214225816,0.5732047352536647,0.0541510472774389,0.7199180218484873,4.11522633744856,4.11522633744856,6,False,-0.5954171736068732
sz50_ma10_d10_s050,sz50,SZ50,10,10,0.5,21.09912186326033,1.3470812478408576,-16.84068464880284,-0.1142656076571704,0.00082847307474,-0.9949045420889356,2.630643441166015,2.630643441166015,52,20.13774222111373,1.2997011368311595,-15.490938567364498,0.1474575774627275,0.0149578301488455,-2.131628207280301e-14,2.266172229089411,2.266172229089411,42,23.55894985340918,1.4829081535178903,-13.869384508726856,-0.2292440857972124,-0.0072608019868813,-0.0709292726525863,2.477291494632535,2.477291494632535,24,22.83111461854146,1.3751099363409227,-13.869384508726869,-0.649748305874386,-0.0313658601906641,-0.0709292726525969,3.1680440771349865,3.1680440771349865,18,20.051950815253704,1.2683824066977494,-13.079372309795312,0.1902633061964245,0.0190063961739954,0.7190829262789915,2.880658436213992,2.880658436213992,4,False,-0.7563520879318739
sz50_ma10_d11_s050,sz50,SZ50,10,11,0.5,20.908683404242367,1.3324643781776675,-16.75743502266621,-0.3047040666751321,-0.0137883965884497,-0.9116549159523082,1.7063633131887666,1.7063633131887666,36,19.884956486247795,1.281063569504494,-15.490938567364488,-0.105328157403207,-0.0036797371778201,-1.0658141036401504e-14,1.4009064688916355,1.4009064688916355,28,23.242479831274167,1.459411991281891,-13.517461881679903,-0.545714107932227,-0.0307569642228808,0.2809933543943668,1.486374896779521,1.486374896779521,12,22.74282503848197,1.3669268785607471,-13.517461881679935,-0.7380378859338705,-0.0395489179708397,0.280993354394333,1.9283746556473829,1.9283746556473829,10,19.774289159551817,1.2492246659456712,-13.431314476600974,-0.0873983495054631,-0.0001513445780827,0.3671407594733296,2.05761316872428,2.05761316872428,4,False,-0.3604670958340401
