variant,defense_asset,decay_ratio_threshold,recovery_ratio_threshold,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,signal_days,overlay_days,overlay_ratio,trigger_count,recovery_count,avg_scale,annual_delta,max_dd_delta,sharpe_delta,calmar_delta
switch_cash_decay60_rec90,cash,0.6,0.9,25.495417498153316,20.618731852382076,1.0659473001496869,-25.856366291320672,0.9860402351552191,3322.1676775337137,61.170212765957444,504,292,0.07731003441885094,72,72,1.1423915348454747,2.7133203596507265,5.341914789265431,0.12751305784872458,0.25580458275963536
switch_cash_decay60_rec80,cash,0.6,0.8,25.30802154845815,20.621140716235328,1.0585585402735076,-25.856366291320732,0.9787926603187608,3243.529973293942,61.170212765957444,505,285,0.07545671167593328,72,72,1.1426284656769083,2.525924409955561,5.3419147892653704,0.12012429797254531,0.24855700792317703
switch_cash_decay60_rec70,cash,0.6,0.7,24.269064016761654,20.645853245160925,1.0169815905391562,-25.856366291320732,0.9386107755175215,2837.3481914345743,60.63829787234043,509,272,0.07201482658194334,72,72,1.141837936991523,1.4869668782590644,5.3419147892653704,0.07854734823819387,0.20837512312193773
switch_bond_decay60_rec90,bond,0.6,0.9,24.378764291138523,20.605234848128035,1.0228810256110659,-26.36663606203301,0.9246065457035322,2877.946095497838,62.76595744680851,533,292,0.07731003441885094,72,72,1.1516867960493093,1.5966671526359342,4.831645018553093,0.08444678331010358,0.19437089330794843
switch_bond_decay60_rec80,bond,0.6,0.8,24.13041028575247,20.60800119139274,1.0130173219900538,-26.366636062033034,0.9151872930995302,2786.776014265461,62.76595744680851,534,285,0.07545671167593328,72,72,1.1513146854694334,1.348313147249879,4.831645018553068,0.0745830796890915,0.18495164070394643
switch_bond_decay60_rec70,bond,0.6,0.7,23.12188635697412,20.6537598559234,0.9715114851253706,-26.366636062033034,0.8769372893294024,2442.714550654985,61.702127659574465,536,272,0.07201482658194334,72,72,1.1511246202952907,0.3397892184715303,4.831645018553068,0.03307724282440827,0.14670163693381866
switch_cash_decay50_rec80,cash,0.5,0.8,25.67755897606141,21.064061280102962,1.0546184476633467,-31.44089055334005,0.8166931191881781,3400.2561246785644,60.63829787234043,489,167,0.04421498543817845,49,49,1.1365223628306425,2.8954618375588197,-0.24260947275394784,0.11618420536238439,0.08645746679259436
switch_cash_decay50_rec90,cash,0.5,0.9,25.608594183721657,21.06534393055827,1.051945627219632,-31.451244632888077,0.814231502843075,3370.4951712693883,60.63829787234043,489,169,0.04474450622186921,49,49,1.1365346718690335,2.8264970452190674,-0.2529635523019742,0.11351138491866963,0.08399585044749125
switch_cash_decay50_rec70,cash,0.5,0.7,25.319071880864485,21.058388086570474,1.0412030810055635,-31.44089055334005,0.8052911808560325,3248.1197489825036,60.1063829787234,491,161,0.042626423087106166,49,49,1.135440016075984,2.5369747423618954,-0.24260947275394784,0.10276883870460118,0.07505552846044872
switch_cash_decay50_rec60,cash,0.5,0.6,25.22955869520549,21.075872675120213,1.0371039196385567,-31.424811535148866,0.8028547336548402,3211.109204152956,60.1063829787234,494,152,0.04024357956049775,49,49,1.1351247437675676,2.447461556702901,-0.22653045456276288,0.09866967733759446,0.07261908125925642
switch_bond_decay50_rec80,bond,0.5,0.8,24.889517535039964,21.01537507805215,1.02648291594217,-31.433110696135973,0.7918248300541122,3073.9746817908117,61.170212765957444,510,167,0.04421498543817845,49,49,1.1362319728626076,2.107420396537375,-0.23482961554987014,0.08804867364120772,0.06158917765852845
switch_bond_decay50_rec90,bond,0.5,0.9,24.830970592184222,21.01640866374601,1.0241982130278833,-31.443040483624536,0.7897127698294997,3050.9065984144977,61.170212765957444,510,169,0.04474450622186921,49,49,1.136393836207815,2.048873453681633,-0.24475940303843302,0.08576397072692099,0.05947711743391593
switch_bond_decay50_rec70,bond,0.5,0.7,24.536842027881644,21.009976369894133,1.0131559607100955,-31.433110696135973,0.780604957144694,2937.371767054497,60.63829787234043,511,161,0.042626423087106166,49,49,1.1354415199816121,1.7547448893790545,-0.23482961554987014,0.07472171840913322,0.05036930474911028
switch_bond_decay50_rec60,bond,0.5,0.6,24.40168340451303,21.0280946319098,1.0072696976422644,-31.424121595971798,0.7765271442827232,2886.494045257545,60.1063829787234,513,152,0.04024357956049775,49,49,1.1352453543809613,1.6195862660104403,-0.22584051538569483,0.06883545534130209,0.046291491887139435
switch_cash_decay40_rec60,cash,0.4,0.6,23.47393779326037,21.22103211230976,0.9646480653676743,-31.20312073851427,0.7522945538035974,2558.2034690736973,57.97872340425532,477,76,0.020121789780248873,25,25,1.122343119596603,0.6918406547577796,-0.004839657928165764,0.02621382306671205,0.022058901408013698
