rule,full_annual,full_vol,full_sharpe,full_max_dd,full_calmar,full_total_return,full_annual_delta,full_max_dd_delta,full_sharpe_delta,last_10y_annual,last_10y_vol,last_10y_sharpe,last_10y_max_dd,last_10y_calmar,last_10y_total_return,last_10y_annual_delta,last_10y_max_dd_delta,last_10y_sharpe_delta,last_5y_annual,last_5y_vol,last_5y_sharpe,last_5y_max_dd,last_5y_calmar,last_5y_total_return,last_5y_annual_delta,last_5y_max_dd_delta,last_5y_sharpe_delta,last_3y_annual,last_3y_vol,last_3y_sharpe,last_3y_max_dd,last_3y_calmar,last_3y_total_return,last_3y_annual_delta,last_3y_max_dd_delta,last_3y_sharpe_delta,last_1y_annual,last_1y_vol,last_1y_sharpe,last_1y_max_dd,last_1y_calmar,last_1y_total_return,last_1y_annual_delta,last_1y_max_dd_delta,last_1y_sharpe_delta,family,zz_ma,zz_days,cyb_ma,cyb_days,mode,scale,trigger_days,robust_pass,combo_score
zz2000_cyb:cross_candidates:or:zz_ma15_d3:cyb_ma10_d3:scale0.00,19.20207356927697,15.285231342316848,1.2629651268132898,-32.47080884957052,0.5913641898554354,46716.96732481847,-0.745613311795676,0.0,0.025897250407406647,26.831765373676486,17.042405972255306,1.530974785116678,-16.610771092682754,1.6153232877609278,976.1094371291538,2.918974691460054,7.955727410249988,0.2908848401538764,37.66481315765739,17.05926693877216,2.032094316691426,-10.987746970735834,3.4278922929306437,393.46866016992436,6.660149598408946,3.9116461953909614,0.49277753203384256,42.42522380168765,18.2325495188061,2.1077484238539186,-8.015220954342627,5.293082254794457,188.97871542362194,8.786422734249768,5.139325006006125,0.5294189363972577,89.11261859100567,19.883666833121644,3.4230273950095014,-6.785863353948307,13.132097412358902,89.03016062294806,8.114715518050133,1.493626467307064,0.4257379168759914,cross_candidates,15,3,10,3,or,0.0,1244,True,0.4391538338936129
zz2000_cyb:cross_candidates:or:zz_ma15_d3:cyb_ma10_d3:scale0.25,19.661508299648233,15.436980909277118,1.2778246405941625,-32.47080884957052,0.6055133517226285,53465.69657043524,-0.2861785814244122,0.0,0.04075676418827934,26.91377350240456,17.457671326736783,1.5025401737549275,-17.449775921720732,1.5423563960442295,983.084856499209,3.0009828201881277,7.116722581212009,0.262450228792126,37.814872947010535,17.47322618602069,1.9945318108280126,-10.990082491030096,3.440817935431726,396.1606964218324,6.8102093877620895,3.9093106750967,0.4552150261704293,41.464010880800984,18.56669611833647,2.0351464967678305,-8.01059439049876,5.176146595311429,183.16593969143318,7.825209813363102,5.1439515698499925,0.45681700931116964,89.04701922450874,20.24314781638373,3.363989674922291,-6.771949201738636,13.149392674364234,88.96463473242488,8.049116151553207,1.5075406195167353,0.3667001967887811,cross_candidates,15,3,10,3,or,0.25,1244,True,0.4389988024928464
zz2000_cyb:cross_candidates:or:zz_ma20_d3:cyb_ma10_d8:scale0.00,19.612282574944185,15.605462441053236,1.262940931166341,-32.47080884957052,0.6039973523851283,52699.686866042284,-0.33540430612845995,0.0,0.02587305476045798,26.612796738569088,17.807967836363606,1.46255353466249,-14.847454827318195,1.7924147302070623,957.68213111436,2.700006056352656,9.719043675614547,0.2224635896996885,35.47253439669142,17.858664358463923,1.8554629657064512,-12.95952589690118,2.737178402889989,355.4535091394099,4.467870837442977,1.9398672692256156,0.31614618104886794,44.7043675730568,18.408481972513723,2.1792542347987385,-8.990421288613494,4.972444131141615,203.07824392624815,11.065566505618918,4.164124671735259,0.6009247473420776,100.83422500153331,20.577283655111778,3.6180799424341807,-6.942419477005057,14.524363636556423,100.73839322578534,19.836321928577775,1.3370703442503142,0.6207904643006708,cross_candidates,20,3,10,8,or,0.0,1058,True,0.4161185360291527
zz2000_cyb:cross_candidates:or:zz_ma20_d3:cyb_ma10_d3:scale0.00,19.03912888068504,15.349440034901138,1.2491341950600348,-32.47080884957052,0.5863459998452384,44527.9732417221,-0.9085580003876039,0.0,0.012066318654151642,25.725668249396282,17.19667992321801,1.4659707895120326,-16.812731345698662,1.530130216229137,885.8962493436728,1.81287756717985,7.75376715723408,0.22588084454923107,36.91979428475256,17.175572267649706,1.9866765894678096,-12.384049834677946,2.981237541645655,380.2756134102531,5.915130725504117,2.5153433314488503,0.4473598048102263,44.23076158513582,18.094224280342885,2.1950021487229283,-8.014555218298424,5.518804273024458,200.11144602243363,10.591960517697935,5.139990742050328,0.6166726612662674,94.0976097347082,19.92079089932109,3.5527175283602133,-6.584134882674231,14.291567747544267,94.00952309917162,13.099706661752663,1.69535493858114,0.5554280502267033,cross_candidates,20,3,10,3,or,0.0,1318,True,0.4125407710067044
zz2000_cyb:same_params:or:zz_ma15_d3:cyb_ma15_d3:scale0.00,19.422544478162518,15.28797137927462,1.275251656549199,-32.47080884957052,0.5981540086710656,49845.46639984402,-0.5251424029101273,0.0,0.038183780143315804,26.322847931489513,16.966563289228866,1.5124515334693929,-16.537083497925266,1.591746690690167,933.7185714232429,2.4100572492730805,8.029415005007476,0.2723615885065913,34.10904182502412,16.934796219252682,1.8850611926078262,-10.987746970735834,3.1042798779284126,333.01718801462874,3.1043782657756758,3.9116461953909614,0.34574440795024297,41.7475006876435,17.972173520877192,2.108089138451376,-8.013231908799645,5.209820602071797,184.87211300397584,8.10869962020562,5.141314051549108,0.5297596509947149,93.29065522641658,20.078100729466676,3.5048801525196205,-6.54043914936916,14.26366840144284,93.20348573936835,12.292752153461038,1.7390506718862113,0.5075906743861105,same_params,15,3,15,3,or,0.0,1238,True,0.4076912578039828
zz2000_cyb:cross_candidates:or:zz_ma20_d3:cyb_ma10_d3:scale0.25,19.49596280865591,15.472480281654263,1.2660167702659593,-32.47080884957052,0.6004150650812562,50931.65549340499,-0.4517240724167344,0.0,0.028948893860076153,25.750676102806793,17.563483904316833,1.4401934668286334,-17.605876333928762,1.4626182539509247,887.85822615884,1.8378854205903608,6.96062216900398,0.2001035218658318,36.849109620180684,17.56051498651443,1.943878240296399,-11.253325630568566,3.274508427987159,379.03870828017085,5.844446060932238,3.6460675355582293,0.40456145563881574,42.37305928353934,18.45274807419038,2.0827370080587193,-8.010184397304709,5.28989810743897,188.66123617274994,8.734258216101459,5.144361563044043,0.5044075206020584,91.96332603429332,20.32948860611011,3.428796531412475,-6.586774548042018,13.961814749167374,91.87766011575029,10.96542296133778,1.692715273213353,0.4315070532789651,cross_candidates,20,3,10,3,or,0.25,1318,True,0.4052578205680383
zz2000_cyb:cross_candidates:or:zz_ma13_d3:cyb_ma10_d3:scale0.25,19.209066092518178,15.302428417532388,1.2621563734714953,-32.47080884957052,0.5915795378399467,46813.201892320925,-0.7386207885544671,0.0,0.025088497065612225,25.183002898897545,17.011168208860617,1.4537694399308487,-17.089965489386326,1.473554929911203,844.1762139362394,1.270212216681113,7.476533013546415,0.21367949496804717,35.630784087563704,16.564029501023768,1.9944444355618294,-10.2700284182757,3.4693948873751976,358.1165837806798,4.626120528315258,4.6293647478510955,0.4551276509042461,40.229688759539094,17.736054158660977,2.070623703496328,-8.010594390498794,5.022060386337214,175.81661030708037,6.590887692101212,5.143951569849959,0.4922942160396673,85.68841660336093,18.66518379147633,3.5323725737903944,-5.6682263888582,15.117324313615127,85.6097730680024,4.690513530405397,2.6112634323971715,0.5350830956568844,cross_candidates,13,3,10,3,or,0.25,1193,True,0.40129966955318663
zz2000_cyb:cross_candidates:or:zz_ma20_d3:cyb_ma60_d8:scale0.00,19.423713992226553,15.375630008768267,1.2689068234190217,-32.47080884957052,0.5981900260696298,49862.5914556045,-0.5239728888460924,0.0,0.03183894701313861,24.248090413072234,17.239618007497086,1.3916021480606386,-15.786896768938563,1.5359630691182737,776.0118891879004,0.33529973085580167,8.779601733994179,0.15151220309783708,33.35503667282771,17.751628530918296,1.7733123475512655,-13.331947643653209,2.5018877634661782,320.9950962626549,2.3503731135792627,1.5674455224735873,0.23399556289368229,46.06988840980088,18.23191458283933,2.252229176253572,-9.524309631192018,4.837084281565402,211.74157706191815,12.431087342363,3.630236329156734,0.6738996887969111,98.98804844373095,19.78307016992839,3.7067569406964154,-6.356277086232431,15.573274591527339,98.89435482223774,17.99014537077541,1.9232127350229398,0.7094674625629054,cross_candidates,20,3,60,8,or,0.0,1365,True,0.3703545644253686
zz2000_cyb:cross_candidates:or:zz_ma30_d3:cyb_ma10_d3:scale0.25,19.541067642603704,15.49794104254605,1.2667272523013466,-32.47080884957052,0.6018041537903411,51610.30244945244,-0.40661923846894155,0.0,0.029659375895463524,25.87755626297654,17.57759762406474,1.4451337354050129,-18.199431493546715,1.4218881656909113,897.866782177062,1.9647655807601083,6.367067009386027,0.20504379044221133,36.05254461768854,17.53580338565346,1.9117499754897844,-11.385978116622141,3.1663985516585718,365.27496957172633,5.047881058440094,3.5134150495046548,0.37243319083220117,40.2220645904511,18.546885696457743,1.9876189940022124,-8.01018439730472,5.021365625987972,175.77161474563584,6.5832635230132155,5.144361563044033,0.4092895065455515,87.32350718242779,20.401900220001473,3.2927359274690553,-6.586774548042018,13.257400347547273,87.24304755458986,6.325604109472252,1.692715273213353,0.2954464493355453,cross_candidates,30,3,10,3,or,0.25,1387,True,0.3629884202386928
zz2000_cyb:same_params:or:zz_ma30_d3:cyb_ma30_d3:scale0.00,19.227138485264604,15.380222791977937,1.2575139454324866,-32.47080884957052,0.592136111371273,47062.814105165584,-0.7205483958080414,0.0,0.02044606902660351,24.29526328395777,17.066033388907265,1.406317609517997,-20.495909598943605,1.185371313562487,779.3421324988744,0.38247260174133757,4.070588903989137,0.16622766455519544,33.16653077835918,17.140184949667216,1.8217542653087144,-11.18292003491268,2.9658202575726595,318.03162143552566,2.1618672191107358,3.7164731312141157,0.28243748065113117,44.62329721604272,18.29473124306778,2.1884503213178337,-8.014555218298414,5.567782116487406,202.56901610948543,10.98449614860484,5.139990742050339,0.6101208338611728,98.32630115831702,20.456025506668706,3.5744506932872917,-6.356277086232409,15.469165334420389,98.23337109581745,17.328398085361485,1.923212735022962,0.5771612151537817,same_params,30,3,30,3,or,0.0,1372,True,0.35390831304100934
