strategy,buffer_threshold,segment,start,end,rebalances,avg_turnover,qqq_entries,qqq_exits,qqq_state_changes,qqq_changes_within_7d,qqq_avg_weight,qqq_hold_ratio,cagr,vol,sharpe,max_dd,calmar,final_nav
formal_v71_1p05x,1.05,last_1y,2025-04-25,2026-04-24,52,,3,2,5,1,0.3709646270552787,0.8301369863013699,0.4017418929714649,0.15171076335677044,1.6082169849713994,-0.114570391400447,3.5065071181200267,1.4001227391501812
formal_v71_1p05x,1.05,last_3y,2023-04-25,2026-04-24,157,,5,4,9,2,0.5042434324116458,0.9041970802919708,0.35016103631918094,0.14969468791364654,1.4579105033960786,-0.11457039140044689,3.056296064271062,2.4597387334117107
formal_v71_1p05x,1.05,last_5y,2021-04-23,2026-04-24,261,,9,8,17,4,0.42113530285799927,0.7855579868708972,0.2508725475858957,0.14044122313685678,1.1696806589562356,-0.18554409038293684,1.3520912849777653,3.063831823536071
formal_v71_1p05x,1.05,last_10y,2016-04-25,2026-04-24,522,,17,16,33,11,0.46750299098618914,0.8428258488499453,0.28370526399680807,0.13389470042002857,1.35410308073484,-0.18554409038293762,1.5290450017097241,12.139695069598565
formal_v71_1p05x,1.05,full_common,2015-10-13,2026-04-24,550,,21,20,41,13,0.4611392707445084,0.8375357421367299,0.27611851616503613,0.1331225291399739,1.3304603986897272,-0.18554409038293795,1.4881558102721828,13.031920434035037
legacy_no_buffer_1p00x,1.0,last_1y,2025-04-25,2026-04-24,52,0.06130277299546295,3,2,5,1,0.36899208635766234,0.8301369863013699,0.4063932610221135,0.15156963169348878,1.6246158333516383,-0.1143140128438348,3.5550607568758017,1.4047528080865859
legacy_no_buffer_1p00x,1.0,last_3y,2023-04-25,2026-04-24,157,0.054795454944659414,5,4,9,2,0.5039134051931831,0.9041970802919708,0.34274540114692775,0.1502823568469582,1.4274961275512301,-0.11431401284383491,2.9982798488156863,2.419458627621668
legacy_no_buffer_1p00x,1.0,last_5y,2021-04-23,2026-04-24,261,0.04687361281875576,9,8,17,4,0.4217780109953949,0.7855579868708972,0.24019946084063837,0.14070142474720704,1.125743241582226,-0.18390957987807044,1.3060736748998467,2.9352808786334346
legacy_no_buffer_1p00x,1.0,last_10y,2016-04-25,2026-04-24,522,0.05079225232302151,17,16,33,11,0.46396577727445865,0.8428258488499453,0.28248274291626196,0.13407848915286563,1.3475063723964504,-0.18390957987807055,1.535987103573093,12.024625409299214
legacy_no_buffer_1p00x,1.0,full_common,2015-10-13,2026-04-24,550,0.05088843720610453,21,20,41,13,0.4579637797780393,0.8375357421367299,0.27544023381280414,0.13330902677089623,1.3260149147665736,-0.18390957987807066,1.4976937797118397,12.959168030823436
candidate_1p02x,1.02,last_1y,2025-04-25,2026-04-24,52,0.057842436336584875,3,2,5,1,0.3742388318849246,0.8301369863013699,0.4131155582954982,0.1517623038942928,1.644383265372266,-0.11431401284383536,3.6138662970379345,1.4114442306847323
candidate_1p02x,1.02,last_3y,2023-04-25,2026-04-24,157,0.05234287525957789,5,4,9,2,0.5050651834856398,0.9041970802919708,0.34714220464601864,0.15004687626880475,1.4445296880093317,-0.11431401284383547,3.0367423556397246,2.4432876010845463
candidate_1p02x,1.02,last_5y,2021-04-23,2026-04-24,261,0.044805215636881945,9,8,17,4,0.421892840371977,0.7855579868708972,0.24360036652381556,0.14046448010939044,1.1408572229526162,-0.1855441682538599,1.3128969173017806,2.9757649446974903
candidate_1p02x,1.02,last_10y,2016-04-25,2026-04-24,522,0.049374843362938535,17,16,33,11,0.46617557927008285,0.8428258488499453,0.27796594494411164,0.13396055799786452,1.330405547899779,-0.18554416825386122,1.4981119997466,11.607945455747187
candidate_1p02x,1.02,full_common,2015-10-13,2026-04-24,550,0.049543705085555854,21,20,41,13,0.4598791439997149,0.8375357421367299,0.2707017771965132,0.13318505166997646,1.307844141810529,-0.18554416825386,1.4589613877065717,12.46108907304855
candidate_1p10x,1.1,last_1y,2025-04-25,2026-04-24,52,0.05257484932245385,3,2,5,1,0.380477030392996,0.810958904109589,0.3812626266129313,0.15197269906248284,1.5390017593861698,-0.11483297440641282,3.3201493611371595,1.379736621786007
candidate_1p10x,1.1,last_3y,2023-04-25,2026-04-24,157,0.049522854264149145,5,4,9,2,0.5074113404575097,0.8978102189781022,0.3435715857241781,0.14978098817804736,1.4346191266677244,-0.11483297440641238,2.9919244668192864,2.423924357212823
candidate_1p10x,1.1,last_5y,2021-04-23,2026-04-24,261,0.04279052262361681,9,8,17,4,0.4230346593072459,0.7817286652078774,0.24721004723136564,0.14049332270841022,1.154896036131565,-0.18554409038293784,1.3323520394595032,3.01922170591397
candidate_1p10x,1.1,last_10y,2016-04-25,2026-04-24,522,0.04607200579958266,17,16,33,11,0.46688701662404253,0.8409090909090909,0.27837987770430783,0.1339545835331414,1.3321301929811853,-0.18554409038293806,1.5003435416874187,11.645582914044404
candidate_1p10x,1.1,full_common,2015-10-13,2026-04-24,550,0.046408284554914914,21,20,41,13,0.4605545194134557,0.8357161424486613,0.2710924859516819,0.13317937261640866,1.3094900087138912,-0.1855440903829365,1.4610677461738917,12.50149275362338
